source,target,type
563,402,same_director
563,861,same_director
565,285,same_director
567,213,same_director
567,223,same_director
567,303,same_director
567,381,same_director
567,426,same_director
567,506,same_director
567,521,same_director
567,539,same_director
567,571,same_director
567,573,same_director
567,574,same_director
567,845,same_director
568,453,same_director
568,591,same_director
568,847,same_director
568,921,same_director
571,213,same_director
571,223,same_director
571,303,same_director
571,381,same_director
571,426,same_director
571,506,same_director
571,521,same_director
571,539,same_director
571,567,same_director
571,573,same_director
571,574,same_director
571,845,same_director
573,213,same_director
573,223,same_director
573,303,same_director
573,381,same_director
573,426,same_director
573,506,same_director
573,521,same_director
573,539,same_director
573,567,same_director
573,571,same_director
573,574,same_director
573,845,same_director
574,213,same_director
574,223,same_director
574,303,same_director
574,381,same_director
574,426,same_director
574,506,same_director
574,521,same_director
574,539,same_director
574,567,same_director
574,571,same_director
574,573,same_director
574,845,same_director
577,468,same_director
577,476,same_director
577,489,same_director
577,711,same_director
578,180,same_director
578,217,same_director
578,329,same_director
578,330,same_director
578,424,same_director
578,594,same_director
578,601,same_director
578,612,same_director
578,640,same_director
578,644,same_director
578,840,same_director
578,857,same_director
578,873,same_director
578,879,same_director
584,479,same_director
584,650,same_director
586,380,same_director
586,801,same_director
586,819,same_director
587,118,same_director
587,162,same_director
587,268,same_director
587,364,same_director
587,522,same_director
587,869,same_director
591,453,same_director
591,568,same_director
591,847,same_director
591,921,same_director
592,227,same_director
592,232,same_director
592,238,same_director
592,240,same_director
592,242,same_director
594,180,same_director
594,217,same_director
594,329,same_director
594,330,same_director
594,424,same_director
594,578,same_director
594,601,same_director
594,612,same_director
594,640,same_director
594,644,same_director
594,840,same_director
594,857,same_director
594,873,same_director
594,879,same_director
596,995,same_director
597,218,same_director
597,280,same_director
597,679,same_director
599,239,same_director
599,284,same_director
599,430,same_director
599,996,same_director
600,185,same_director
600,345,same_director
600,694,same_director
600,802,same_director
600,935,same_director
600,967,same_director
601,180,same_director
601,217,same_director
601,329,same_director
601,330,same_director
601,424,same_director
601,578,same_director
601,594,same_director
601,612,same_director
601,640,same_director
601,644,same_director
601,840,same_director
601,857,same_director
601,873,same_director
601,879,same_director
602,435,same_director
602,929,same_director
603,604,same_director
603,605,same_director
604,603,same_director
604,605,same_director
605,603,same_director
605,604,same_director
606,179,same_director
607,608,same_director
608,607,same_director
612,180,same_director
612,217,same_director
612,329,same_director
612,330,same_director
612,424,same_director
612,578,same_director
612,594,same_director
612,601,same_director
612,640,same_director
612,644,same_director
612,840,same_director
612,857,same_director
612,873,same_director
612,879,same_director
620,951,same_director
622,257,same_director
622,423,same_director
622,805,same_director
622,829,same_director
627,170,same_director
630,770,same_director
636,838,same_director
638,404,same_director
638,483,same_director
638,793,same_director
638,841,same_director
638,985,same_director
639,235,same_director
639,881,same_director
640,180,same_director
640,217,same_director
640,329,same_director
640,330,same_director
640,424,same_director
640,578,same_director
640,594,same_director
640,601,same_director
640,612,same_director
640,644,same_director
640,840,same_director
640,857,same_director
640,873,same_director
640,879,same_director
641,473,same_director
644,180,same_director
644,217,same_director
644,329,same_director
644,330,same_director
644,424,same_director
644,578,same_director
644,594,same_director
644,601,same_director
644,612,same_director
644,640,same_director
644,840,same_director
644,857,same_director
644,873,same_director
644,879,same_director
646,657,same_director
646,660,same_director
650,479,same_director
650,584,same_director
651,695,same_director
652,387,same_director
652,503,same_director
654,702,same_director
655,144,same_director
657,646,same_director
657,660,same_director
658,253,same_director
658,681,same_director
658,682,same_director
660,646,same_director
660,657,same_director
663,214,same_director
663,215,same_director
665,804,same_director
665,887,same_director
667,691,same_director
667,698,same_director
671,672,same_director
671,771,same_director
671,772,same_director
671,788,same_director
672,671,same_director
672,771,same_director
672,772,same_director
672,788,same_director
674,712,same_director
675,767,same_director
679,218,same_director
679,280,same_director
679,597,same_director
680,184,same_director
680,393,same_director
680,500,same_director
681,253,same_director
681,658,same_director
681,682,same_director
682,253,same_director
682,658,same_director
682,681,same_director
686,105,same_director
686,165,same_director
686,196,same_director
686,856,same_director
688,322,same_director
691,667,same_director
691,698,same_director
693,816,same_director
693,817,same_director
693,818,same_director
694,185,same_director
694,345,same_director
694,600,same_director
694,802,same_director
694,935,same_director
694,967,same_director
695,651,same_director
696,116,same_director
696,512,same_director
696,703,same_director
698,667,same_director
698,691,same_director
699,700,same_director
699,707,same_director
699,708,same_director
699,709,same_director
700,699,same_director
700,707,same_director
700,708,same_director
700,709,same_director
702,654,same_director
703,116,same_director
703,512,same_director
703,696,same_director
705,993,same_director
707,699,same_director
707,700,same_director
707,708,same_director
707,709,same_director
708,699,same_director
708,700,same_director
708,707,same_director
708,709,same_director
709,699,same_director
709,700,same_director
709,707,same_director
709,708,same_director
711,468,same_director
711,476,same_director
711,489,same_director
711,577,same_director
712,674,same_director
744,319,same_director
754,955,same_director
755,187,same_director
755,189,same_director
756,408,same_director
759,301,same_director
759,910,same_director
762,177,same_director
764,557,same_director
764,558,same_director
764,559,same_director
764,765,same_director
764,766,same_director
765,557,same_director
765,558,same_director
765,559,same_director
765,764,same_director
765,766,same_director
766,557,same_director
766,558,same_director
766,559,same_director
766,764,same_director
766,765,same_director
767,675,same_director
769,103,same_director
769,203,same_director
769,262,same_director
769,524,same_director
770,630,same_director
771,671,same_director
771,672,same_director
771,772,same_director
771,788,same_director
772,671,same_director
772,672,same_director
772,771,same_director
772,788,same_director
788,671,same_director
788,672,same_director
788,771,same_director
788,772,same_director
790,948,same_director
792,241,same_director
792,820,same_director
793,404,same_director
793,483,same_director
793,638,same_director
793,841,same_director
793,985,same_director
794,526,same_director
794,941,same_director
794,942,same_director
794,943,same_director
794,944,same_director
801,380,same_director
801,586,same_director
801,819,same_director
802,185,same_director
802,345,same_director
802,600,same_director
802,694,same_director
802,935,same_director
802,967,same_director
804,665,same_director
804,887,same_director
805,257,same_director
805,423,same_director
805,622,same_director
805,829,same_director
807,550,same_director
808,411,same_director
808,809,same_director
809,411,same_director
809,808,same_director
813,251,same_director
814,306,same_director
814,525,same_director
816,693,same_director
816,817,same_director
816,818,same_director
817,693,same_director
817,816,same_director
817,818,same_director
818,693,same_director
818,816,same_director
818,817,same_director
819,380,same_director
819,586,same_director
819,801,same_director
820,241,same_director
820,792,same_director
824,454,same_director
826,907,same_director
826,947,same_director
828,152,same_director
829,257,same_director
829,423,same_director
829,622,same_director
829,805,same_director
834,277,same_director
838,636,same_director
840,180,same_director
840,217,same_director
840,329,same_director
840,330,same_director
840,424,same_director
840,578,same_director
840,594,same_director
840,601,same_director
840,612,same_director
840,640,same_director
840,644,same_director
840,857,same_director
840,873,same_director
840,879,same_director
841,404,same_director
841,483,same_director
841,638,same_director
841,793,same_director
841,985,same_director
845,213,same_director
845,223,same_director
845,303,same_director
845,381,same_director
845,426,same_director
845,506,same_director
845,521,same_director
845,539,same_director
845,567,same_director
845,571,same_director
845,573,same_director
845,574,same_director
847,453,same_director
847,568,same_director
847,591,same_director
847,921,same_director
849,916,same_director
853,192,same_director
853,978,same_director
855,348,same_director
856,105,same_director
856,165,same_director
856,196,same_director
856,686,same_director
857,180,same_director
857,217,same_director
857,329,same_director
857,330,same_director
857,424,same_director
857,578,same_director
857,594,same_director
857,601,same_director
857,612,same_director
857,640,same_director
857,644,same_director
857,840,same_director
857,873,same_director
857,879,same_director
859,243,same_director
861,402,same_director
861,563,same_director
862,863,same_director
862,920,same_director
863,862,same_director
863,920,same_director
869,118,same_director
869,162,same_director
869,268,same_director
869,364,same_director
869,522,same_director
869,587,same_director
873,180,same_director
873,217,same_director
873,329,same_director
873,330,same_director
873,424,same_director
873,578,same_director
873,594,same_director
873,601,same_director
873,612,same_director
873,640,same_director
873,644,same_director
873,840,same_director
873,857,same_director
873,879,same_director
874,288,same_director
879,180,same_director
879,217,same_director
879,329,same_director
879,330,same_director
879,424,same_director
879,578,same_director
879,594,same_director
879,601,same_director
879,612,same_director
879,640,same_director
879,644,same_director
879,840,same_director
